basis,rho,sigma_a,seed,object,num_frames
random_uniform,0.001,0.05,0,0,2048
random_uniform,0.001,0.05,0,1,2048
random_uniform,0.001,0.05,0,2,2048
random_uniform,0.001,0.05,1,0,2048
random_uniform,0.001,0.05,1,1,2048
random_uniform,0.001,0.05,1,2,2048
random_uniform,0.001,0.3,0,0,2048
random_uniform,0.001,0.3,0,1,2048
random_uniform,0.001,0.3,0,2,2048
random_uniform,0.001,0.3,1,0,2048
random_uniform,0.001,0.3,1,1,2048
random_uniform,0.001,0.3,1,2,2048
random_uniform,0.1,0.05,0,0,2048
random_uniform,0.1,0.05,0,1,2048
random_uniform,0.1,0.05,0,2,2048
random_uniform,0.1,0.05,1,0,2048
random_uniform,0.1,0.05,1,1,2048
random_uniform,0.1,0.05,1,2,2048
random_uniform,0.1,0.3,0,0,2048
random_uniform,0.1,0.3,0,1,2048
random_uniform,0.1,0.3,0,2,2048
random_uniform,0.1,0.3,1,0,2048
random_uniform,0.1,0.3,1,1,2048
random_uniform,0.1,0.3,1,2,2048
random_uniform,1.0,0.05,0,0,2048
random_uniform,1.0,0.05,0,1,2048
random_uniform,1.0,0.05,0,2,2048
random_uniform,1.0,0.05,1,0,2048
random_uniform,1.0,0.05,1,1,2048
random_uniform,1.0,0.05,1,2,2048
random_uniform,1.0,0.3,0,0,2048
random_uniform,1.0,0.3,0,1,2048
random_uniform,1.0,0.3,0,2,2048
random_uniform,1.0,0.3,1,0,2048
random_uniform,1.0,0.3,1,1,2048
random_uniform,1.0,0.3,1,2,2048
random_binary,0.001,0.05,0,0,2048
random_binary,0.001,0.05,0,1,2048
random_binary,0.001,0.05,0,2,2048
random_binary,0.001,0.05,1,0,2048
random_binary,0.001,0.05,1,1,2048
random_binary,0.001,0.05,1,2,2048
random_binary,0.001,0.3,0,0,2048
random_binary,0.001,0.3,0,1,2048
random_binary,0.001,0.3,0,2,2048
random_binary,0.001,0.3,1,0,2048
random_binary,0.001,0.3,1,1,2048
random_binary,0.001,0.3,1,2,2048
random_binary,0.1,0.05,0,0,2048
random_binary,0.1,0.05,0,1,2048
random_binary,0.1,0.05,0,2,2048
random_binary,0.1,0.05,1,0,2048
random_binary,0.1,0.05,1,1,2048
random_binary,0.1,0.05,1,2,2048
random_binary,0.1,0.3,0,0,2048
random_binary,0.1,0.3,0,1,2048
random_binary,0.1,0.3,0,2,2048
random_binary,0.1,0.3,1,0,2048
random_binary,0.1,0.3,1,1,2048
random_binary,0.1,0.3,1,2,2048
random_binary,1.0,0.05,0,0,2048
random_binary,1.0,0.05,0,1,2048
random_binary,1.0,0.05,0,2,2048
random_binary,1.0,0.05,1,0,2048
random_binary,1.0,0.05,1,1,2048
random_binary,1.0,0.05,1,2,2048
random_binary,1.0,0.3,0,0,2048
random_binary,1.0,0.3,0,1,2048
random_binary,1.0,0.3,0,2,2048
random_binary,1.0,0.3,1,0,2048
random_binary,1.0,0.3,1,1,2048
random_binary,1.0,0.3,1,2,2048
hadamard_paired,0.001,0.05,0,0,2048
hadamard_paired,0.001,0.05,0,1,2048
hadamard_paired,0.001,0.05,0,2,2048
hadamard_paired,0.001,0.05,1,0,2048
hadamard_paired,0.001,0.05,1,1,2048
hadamard_paired,0.001,0.05,1,2,2048
hadamard_paired,0.001,0.3,0,0,2048
hadamard_paired,0.001,0.3,0,1,2048
hadamard_paired,0.001,0.3,0,2,2048
hadamard_paired,0.001,0.3,1,0,2048
hadamard_paired,0.001,0.3,1,1,2048
hadamard_paired,0.001,0.3,1,2,2048
hadamard_paired,0.1,0.05,0,0,2048
hadamard_paired,0.1,0.05,0,1,2048
hadamard_paired,0.1,0.05,0,2,2048
hadamard_paired,0.1,0.05,1,0,2048
hadamard_paired,0.1,0.05,1,1,2048
hadamard_paired,0.1,0.05,1,2,2048
hadamard_paired,0.1,0.3,0,0,2048
hadamard_paired,0.1,0.3,0,1,2048
hadamard_paired,0.1,0.3,0,2,2048
hadamard_paired,0.1,0.3,1,0,2048
hadamard_paired,0.1,0.3,1,1,2048
hadamard_paired,0.1,0.3,1,2,2048
hadamard_paired,1.0,0.05,0,0,2048
hadamard_paired,1.0,0.05,0,1,2048
hadamard_paired,1.0,0.05,0,2,2048
hadamard_paired,1.0,0.05,1,0,2048
hadamard_paired,1.0,0.05,1,1,2048
hadamard_paired,1.0,0.05,1,2,2048
hadamard_paired,1.0,0.3,0,0,2048
hadamard_paired,1.0,0.3,0,1,2048
hadamard_paired,1.0,0.3,0,2,2048
hadamard_paired,1.0,0.3,1,0,2048
hadamard_paired,1.0,0.3,1,1,2048
hadamard_paired,1.0,0.3,1,2,2048
dct_paired,0.001,0.05,0,0,2048
dct_paired,0.001,0.05,0,1,2048
dct_paired,0.001,0.05,0,2,2048
dct_paired,0.001,0.05,1,0,2048
