basis,rho,object,fit_max_W,slope_log_err_vs_log_W,W,object_mean_err,object_std_err,relative_spread
hadamard_paired,0.001,digit_2,32,0.20912522674209946,1024,0.12441314607621654,0.0012416464568551528,0.009980026195097661
hadamard_paired,0.001,digit_3,32,0.14191096784518273,4,0.026344195668466037,0.014891320287492817,0.5652600092595617
hadamard_paired,0.001,digit_3,32,0.14191096784518273,8,0.019755586959022263,0.00642395274910572,0.32517144453518443
hadamard_paired,0.001,digit_3,32,0.14191096784518273,16,0.020032235591193447,0.0020809185809400224,0.10387849980432708
hadamard_paired,0.001,digit_3,32,0.14191096784518273,32,0.02586851959885201,0.0006280628406316628,0.024279040717101373
hadamard_paired,0.001,digit_3,32,0.14191096784518273,64,0.03556113238315179,0.0002057453937648983,0.005785681725432813
hadamard_paired,0.001,digit_3,32,0.14191096784518273,128,0.050031727278287495,0.00018543487152545402,0.0037063455853527582
hadamard_paired,0.001,digit_3,32,0.14191096784518273,256,0.07028534178186016,0.00012135425372506447,0.0017265940614147317
hadamard_paired,0.001,digit_3,32,0.14191096784518273,512,0.0947361499573677,0.00023617939721858776,0.002493022962458059
hadamard_paired,0.001,digit_3,32,0.14191096784518273,1024,0.12441314607621654,0.0012416464568551528,0.009980026195097661
hadamard_paired,0.001,digit_4,32,-0.12344655337606784,4,0.026344195668466037,0.014891320287492817,0.5652600092595617
hadamard_paired,0.001,digit_4,32,-0.12344655337606784,8,0.019755586959022263,0.00642395274910572,0.32517144453518443
hadamard_paired,0.001,digit_4,32,-0.12344655337606784,16,0.020032235591193447,0.0020809185809400224,0.10387849980432708
hadamard_paired,0.001,digit_4,32,-0.12344655337606784,32,0.02586851959885201,0.0006280628406316628,0.024279040717101373
hadamard_paired,0.001,digit_4,32,-0.12344655337606784,64,0.03556113238315179,0.0002057453937648983,0.005785681725432813
hadamard_paired,0.001,digit_4,32,-0.12344655337606784,128,0.050031727278287495,0.00018543487152545402,0.0037063455853527582
hadamard_paired,0.001,digit_4,32,-0.12344655337606784,256,0.07028534178186016,0.00012135425372506447,0.0017265940614147317
hadamard_paired,0.001,digit_4,32,-0.12344655337606784,512,0.0947361499573677,0.00023617939721858776,0.002493022962458059
hadamard_paired,0.001,digit_4,32,-0.12344655337606784,1024,0.12441314607621654,0.0012416464568551528,0.009980026195097661
hadamard_paired,0.001,letter_A,32,-0.23211046654250342,4,0.026344195668466037,0.014891320287492817,0.5652600092595617
hadamard_paired,0.001,letter_A,32,-0.23211046654250342,8,0.019755586959022263,0.00642395274910572,0.32517144453518443
hadamard_paired,0.001,letter_A,32,-0.23211046654250342,16,0.020032235591193447,0.0020809185809400224,0.10387849980432708
hadamard_paired,0.001,letter_A,32,-0.23211046654250342,32,0.02586851959885201,0.0006280628406316628,0.024279040717101373
hadamard_paired,0.001,letter_A,32,-0.23211046654250342,64,0.03556113238315179,0.0002057453937648983,0.005785681725432813
hadamard_paired,0.001,letter_A,32,-0.23211046654250342,128,0.050031727278287495,0.00018543487152545402,0.0037063455853527582
hadamard_paired,0.001,letter_A,32,-0.23211046654250342,256,0.07028534178186016,0.00012135425372506447,0.0017265940614147317
