rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
3.0,0.05,srht_paired,reference_k2,16.677521261174327,1.756235542426962,0.21036639592297446,0.028938956914898274,2048,1025,3073
3.0,0.1,srht_paired,reference_k2,12.786773162712906,1.5378315332376937,0.512691287053795,0.04513995329576023,2048,1025,3073
3.0,0.15,srht_paired,reference_k2,11.409354807520778,1.3976968959272456,0.7025836132500733,0.03955239461926561,2048,1025,3073
3.0,0.3,srht_paired,reference_k2,10.287385431934783,1.2429578102572458,0.9085751063869042,0.01945280265804455,2048,1025,3073
3.0,0.5,srht_paired,pairwise,10.00637632486271,1.19790507473413,0.969136706996905,0.008167239364567152,2048,0,2048
10.0,0.05,srht_paired,reference_k2,16.44718467128118,1.7484267802931477,0.22177395497657465,0.030098450999370783,2048,1025,3073
10.0,0.1,srht_paired,reference_k2,12.644729156520803,1.5263342535526974,0.529626303828345,0.04521197040154241,2048,1025,3073
10.0,0.15,srht_paired,reference_k2,11.321792234600965,1.3881839477876665,0.7168152760757879,0.0387911632932855,2048,1025,3073
10.0,0.3,srht_paired,reference_k2,10.258332564131011,1.2391000715402214,0.9146593031703425,0.018831348689566936,2048,1025,3073
10.0,0.5,srht_paired,pairwise,9.999117613322372,1.1973277407345437,0.9707573555889718,0.008115106919348846,2048,0,2048
