object,family,K_eff,basis,rho,s,seed,W,photon_budget,lambda_bar,zero_fraction,method,gain_rel_mse,fisher_reference
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,0.25,0.250002384185791,0.7802734375,soft_log,0.0035655077053532514,0.06249940395923653
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,0.25,0.250002384185791,0.7802734375,naive_log,0.12149408870088482,0.06249940395923653
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,0.25,0.250002384185791,0.7802734375,anscombe,0.0062635429593940126,0.06249940395923653
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,0.5,0.500004768371582,0.60693359375,soft_log,0.007944859291739728,0.031249701979618266
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,0.5,0.500004768371582,0.60693359375,naive_log,0.32937586614196324,0.031249701979618266
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,0.5,0.500004768371582,0.60693359375,anscombe,0.01093764611666511,0.031249701979618266
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,1.0,1.000009536743164,0.35302734375,soft_log,0.007604685493408891,0.015624850989809133
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,1.0,1.000009536743164,0.35302734375,naive_log,0.20199960793120822,0.015624850989809133
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,1.0,1.000009536743164,0.35302734375,anscombe,0.008686852081939471,0.015624850989809133
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,2.0,2.000019073486328,0.15576171875,soft_log,0.011989187029203431,0.0078124254949045666
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,2.0,2.000019073486328,0.15576171875,naive_log,0.12046477530108866,0.0078124254949045666
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,2.0,2.000019073486328,0.15576171875,anscombe,0.01156584545115396,0.0078124254949045666
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,4.0,4.000038146972656,0.03076171875,soft_log,0.00587220559008509,0.0039062127474522833
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,4.0,4.000038146972656,0.03076171875,naive_log,0.03638712546234241,0.0039062127474522833
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,4.0,4.000038146972656,0.03076171875,anscombe,0.004847680264417815,0.0039062127474522833
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,8.0,8.000076293945312,0.0009765625,soft_log,0.0027660204000328524,0.0019531063737261416
