rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.001,0.05,srht_paired,pairwise,44.68678231032312,2.2588257018812685,0.000391343266655292,6.793528508968289e-05,2048,0,2048
0.001,0.1,srht_paired,pairwise,38.673864886840136,2.2578923485970632,0.0015625566709143801,0.00027091683926780283,2048,0,2048
0.001,0.15,srht_paired,pairwise,35.163092740867164,2.2564528896912477,0.003506628759895356,0.000606770766448322,2048,0,2048
0.001,0.3,srht_paired,pairwise,29.195575469615363,2.2491828279991717,0.013852171227941962,0.0023720538957359492,2048,0,2048
0.001,0.5,srht_paired,pairwise,24.874122666749074,2.233094698396869,0.037444223891983736,0.00626102066299989,2048,0,2048
0.003,0.05,srht_paired,pairwise,39.925527443100655,2.2581671969722548,0.0011713094371357301,0.00020312206011172018,2048,0,2048
0.003,0.1,srht_paired,pairwise,33.92459186920484,2.2556037756003486,0.004663622881480676,0.0008058498968608261,2048,0,2048
0.003,0.15,srht_paired,pairwise,30.432405517491848,2.2515591959391115,0.010420130082136778,0.0017901197863581212,2048,0,2048
0.003,0.3,srht_paired,pairwise,24.558174394021147,2.231220750181259,0.04026652594412468,0.006712119577378097,2048,0,2048
0.003,0.5,srht_paired,pairwise,20.43698681257202,2.1886589227922526,0.10383580351845197,0.016194898030838862,2048,0,2048
0.01,0.05,srht_paired,pairwise,34.729344113271544,2.2557816451842827,0.0038747105227227158,0.0006690579750041548,2048,0,2048
0.01,0.1,srht_paired,pairwise,28.766825791904193,2.247755471283119,0.015288085091096052,0.0026092419001200523,2048,0,2048
0.01,0.15,srht_paired,pairwise,25.33491374177765,2.2351857060753084,0.03367642759590151,0.005641075565802062,2048,0,2048
0.01,0.3,srht_paired,pairwise,19.75276349392864,2.1763325413757837,0.12149458202145307,0.018547229553396,2048,0,2048
0.01,0.5,srht_paired,pairwise,16.186516299330545,2.0746561698806656,0.27521946043705947,0.03496885381336284,2048,0,2048
0.03,0.05,srht_paired,pairwise,30.030914275477112,2.249885250951824,0.011428025984108975,0.0019549261759595595,2048,0,2048
0.03,0.1,srht_paired,pairwise,24.169766000264477,2.227436718224227,0.04402472592456782,0.007281538530414599,2048,0,2048
0.03,0.15,srht_paired,pairwise,20.892819869111754,2.19408441201007,0.09350378590422657,0.01467668549656728,2048,0,2048
