basis,N,N_factor,v,rel_mse_mean,rel_mse_std,theory_rel_mse_mean,measured_leverage_mean
orthogonal_inverse,1024,1,0.0001,8.393920240815214e-05,3.836002148050144e-05,0.0001,1.0
orthogonal_inverse,1024,1,0.0003,0.0002299904578624876,0.00011952904753777634,0.0003,1.0
orthogonal_inverse,1024,1,0.001,0.0010361541818360367,0.0005362383025126497,0.001,1.0
orthogonal_inverse,1024,1,0.003,0.0024331504503795984,0.0013708922380288363,0.003,1.0
orthogonal_inverse,1024,1,0.01,0.009007810796704548,0.004083456304793159,0.01,1.0
random_dgi,1024,1,0.0001,0.07625880378888729,0.07550225954750546,0.07838091499911463,783.8091499911465
random_dgi,1024,1,0.0003,0.2132144543484021,0.2113866707291613,0.2351427449973439,783.8091499911465
random_dgi,1024,1,0.001,0.7269530994343841,0.7219329035675368,0.7838091499911464,783.8091499911465
random_dgi,1024,1,0.003,2.150600929934843,2.1410997431075334,2.351427449973439,783.8091499911465
random_dgi,1024,1,0.01,7.451371013891262,7.381986712687687,7.838091499911464,783.8091499911465
random_dgi,2048,2,0.0001,0.03558960659510432,0.035217770741666043,0.03757790048028422,375.77900480284217
random_dgi,2048,2,0.0003,0.11160442622060046,0.11044923888288782,0.11273370144085265,375.77900480284217
random_dgi,2048,2,0.001,0.37190903208017656,0.3676811214534879,0.37577900480284215,375.77900480284217
random_dgi,2048,2,0.003,1.0762632185246648,1.0715940239839097,1.1273370144085266,375.77900480284217
random_dgi,2048,2,0.01,3.621881343529473,3.5828151584423766,3.7577900480284216,375.77900480284217
random_dgi,4096,4,0.0001,0.018086713976298716,0.017960510167362,0.01775755128300898,177.5755128300898
random_dgi,4096,4,0.0003,0.054634464626321766,0.05431214188970476,0.053272653849026935,177.5755128300898
random_dgi,4096,4,0.001,0.18024081986848145,0.17849943749358962,0.1775755128300898,177.5755128300898
random_dgi,4096,4,0.003,0.5568086532213328,0.5516488234498044,0.5327265384902694,177.5755128300898
random_dgi,4096,4,0.01,1.8726845041335096,1.8570779486726603,1.775755128300898,177.5755128300898
srht_inverse,1024,1,0.0001,0.00010281239104554411,6.836028862358044e-06,0.0001,1.0
srht_inverse,1024,1,0.0003,0.00030148051625571837,2.299832058640295e-05,0.0003,1.0
srht_inverse,1024,1,0.001,0.00101185213990317,7.560796698986844e-05,0.001,1.0
srht_inverse,1024,1,0.003,0.0029847679781148306,0.00017026451505051222,0.003,1.0
srht_inverse,1024,1,0.01,0.010037774123065285,0.0008685497501347139,0.01,1.0
