variant,basis_name,paired,correction,rho,sigma_a,seed,object,num_frames,mse,rel_mse,psnr,recon_scale,gain_rel_mse,gain_corr,gain_scale
hadamard_ordered,hadamard_ordered,True,none,1.0,0.3,0,0,2048,0.07580148615146504,0.896574190802038,11.203222795783233,0.10962550882837707,,,
hadamard_ordered,hadamard_ordered,True,agc,1.0,0.3,0,0,2048,0.07673632204796092,0.9076313584116378,11.149990202608988,0.10455938090384392,0.08419280499219894,0.13383328914642334,0.9992875456809998
hadamard_ordered,hadamard_ordered,True,pairwise,1.0,0.3,0,0,2048,0.073860351412497,0.873614597313984,11.315886303955022,0.13448634661685133,0.02713780663907528,0.8263482451438904,0.9998202323913574
hadamard_ordered,hadamard_ordered,True,oracle,1.0,0.3,0,0,2048,7.49416911709716e-14,8.86404601417587e-13,120.0,0.9999999473316545,0.0,0.9999999403953552,1.0
hadamard_ordered,hadamard_ordered,True,none,1.0,0.3,0,1,2048,0.07233842157483189,0.9070114587038508,11.406309717814683,0.10546206389910992,,,
hadamard_ordered,hadamard_ordered,True,agc,1.0,0.3,0,1,2048,0.07325776303254676,0.9185385727665525,11.351463468979778,0.09955627241309743,0.08426102250814438,0.13116738200187683,0.9992769360542297
hadamard_ordered,hadamard_ordered,True,pairwise,1.0,0.3,0,1,2048,0.07035833505992001,0.8821842490529991,11.5268444611686,0.13064384968211346,0.027183273807168007,0.8260232210159302,0.999974250793457
hadamard_ordered,hadamard_ordered,True,oracle,1.0,0.3,0,1,2048,6.827007332691248e-14,8.560006901727265e-13,120.0,1.000000065206946,0.0,0.9999999403953552,1.0
hadamard_ordered,hadamard_ordered,True,none,1.0,0.3,0,2,2048,0.06585496998578755,0.931943974220021,11.814114438464125,0.08543217166261359,,,
hadamard_ordered,hadamard_ordered,True,agc,1.0,0.3,0,2,2048,0.06653297331376418,0.941538711202595,11.769630677923876,0.07977085295899251,0.08421170711517334,0.13247257471084595,0.9993269443511963
hadamard_ordered,hadamard_ordered,True,pairwise,1.0,0.3,0,2,2048,0.0646741855177665,0.9152341500402774,11.892690319174406,0.1055222583547705,0.027141859754920006,0.8263162970542908,0.9999613165855408
hadamard_ordered,hadamard_ordered,True,oracle,1.0,0.3,0,2,2048,6.985248548520917e-14,9.885146549498297e-13,120.0,1.0000000586581048,0.0,0.9999999403953552,1.0
hadamard_ordered,hadamard_ordered,True,none,1.0,0.3,0,3,2048,0.0850184197907213,0.901783590103809,10.704869713819251,0.1028229213479198,,,
hadamard_ordered,hadamard_ordered,True,agc,1.0,0.3,0,3,2048,0.08631058002252502,0.915489430505144,10.639359648436601,0.09628380675000338,0.08420754969120026,0.13317438960075378,0.9992911219596863
hadamard_ordered,hadamard_ordered,True,pairwise,1.0,0.3,0,3,2048,0.08324571021706952,0.8829806012047661,10.79638137125629,0.12373410662021564,0.0271641593426466,0.8261586427688599,1.0000447034835815
hadamard_ordered,hadamard_ordered,True,oracle,1.0,0.3,0,3,2048,9.456848060235352e-14,1.0030803225721687e-12,120.0,1.000000065158298,0.0,0.9999999403953552,1.0
hadamard_ordered,hadamard_ordered,True,none,1.0,0.3,0,4,2048,0.03158179615559218,0.8922795068695152,15.005631739388816,0.11810519037745693,,,
hadamard_ordered,hadamard_ordered,True,agc,1.0,0.3,0,4,2048,0.031871222749564485,0.9004566674487372,14.96601274361164,0.11410339640547146,0.08421144634485245,0.13208827376365662,0.9993540048599243
hadamard_ordered,hadamard_ordered,True,pairwise,1.0,0.3,0,4,2048,0.03038419229846205,0.85844364225306,15.17352303992765,0.14807374467565532,0.02717536874115467,0.8260812163352966,1.0001394748687744
hadamard_ordered,hadamard_ordered,True,oracle,1.0,0.3,0,4,2048,2.2716332789763398e-14,6.418038454707966e-13,120.0,0.9999998829639971,0.0,0.9999999403953552,1.0
hadamard_ordered,hadamard_ordered,True,none,1.0,0.3,0,5,2048,0.10759766285555307,0.931385255158264,9.681971619406353,0.08086978345750305,,,
hadamard_ordered,hadamard_ordered,True,agc,1.0,0.3,0,5,2048,0.10883514710032341,0.9420971474845597,9.632308314139463,0.07489951557507735,0.08420956879854202,0.13261036574840546,0.9993237257003784
hadamard_ordered,hadamard_ordered,True,pairwise,1.0,0.3,0,5,2048,0.10475080121052183,0.9067422946209399,9.798426465480372,0.10350670754302056,0.027137432247400284,0.8263475894927979,1.0000455379486084
hadamard_ordered,hadamard_ordered,True,oracle,1.0,0.3,0,5,2048,1.0911878484856033e-13,9.445523682533306e-13,120.0,1.0000000449239406,0.0,0.9999999403953552,1.0
hadamard_ordered,hadamard_ordered,True,none,1.0,0.3,0,6,2048,0.12231071606958993,0.9188364257722567,9.12535491238358,0.08479098399906702,,,
